Date;Current;Pressure;Temperature;Thermocouple;Voltage;Volume Flow RateRMS
2020-03-01 15:44:06;1.27794;0.054711;92.2562;22.2577;209.639;76.0197
2020-03-01 15:44:07;1.12118;-0.273216;92.0144;22.2577;221.25;76.9806
2020-03-01 15:44:08;1.93242;0.054711;92.2413;22.2748;236.615;76.0197
2020-03-01 15:44:09;1.25962;-0.273216;92.2438;22.2657;230.375;77.0
2020-03-01 15:44:10;1.59773;0.054711;92.3611;22.2591;249.701;77.0
2020-03-01 15:44:11;1.2084;0.382638;92.2081;22.2717;232.458;77.0
2020-03-01 15:44:12;0.712917;0.382638;92.2305;22.2644;220.934;77.0
2020-03-01 15:44:13;1.32975;0.054711;92.3508;22.2651;238.203;76.9806
2020-03-01 15:44:14;1.86596;0.054711;92.2582;22.2651;242.887;76.0197
2020-03-01 15:44:15;1.36674;0.054711;92.2867;22.2602;238.303;77.0
2020-03-01 15:44:16;1.19339;0.054711;92.3134;22.2546;222.332;77.0
2020-03-01 15:44:18;2.20982;0.054711;92.3117;22.2623;251.703;76.9806
2020-03-01 15:44:19;1.43207;0.382638;92.2276;22.2713;224.992;76.0197
2020-03-01 15:44:20;1.354;-0.273216;92.3195;22.2602;232.279;77.0
2020-03-01 15:44:21;2.058;0.054711;92.3987;22.2573;233.26;77.0
2020-03-01 15:44:22;1.26552;0.382638;92.3622;22.2563;221.175;76.9806
2020-03-01 15:44:23;1.88323;0.382638;92.2179;22.2563;239.941;76.0197
2020-03-01 15:44:24;2.22662;-0.601143;92.3079;22.2655;241.949;77.0
2020-03-01 15:44:25;1.55682;-0.601143;92.4039;22.2659;227.011;77.0
2020-03-01 15:44:26;1.81017;0.382638;92.543;22.26;247.16;77.0
2020-03-01 15:44:27;1.80277;0.382638;92.5555;22.2606;238.952;77.0
2020-03-01 15:44:28;1.40275;0.054711;92.4826;22.2605;232.789;76.0197
2020-03-01 15:44:29;1.9447;0.382638;92.3801;22.2625;233.37;77.0
2020-03-01 15:44:30;1.97453;0.054711;92.8084;22.2622;234.021;76.9806
2020-03-01 15:44:31;2.27031;0.054711;92.6807;22.2622;252.313;76.0197
2020-03-01 15:44:32;1.37916;-0.273216;92.4346;22.2597;231.724;77.0
2020-03-01 15:44:33;1.32476;-0.601143;92.8106;22.2603;230.415;77.0
2020-03-01 15:44:34;1.54211;0.054711;92.376;22.2501;226.532;77.0
2020-03-01 15:44:35;1.88925;0.054711;92.4763;22.2557;241.656;77.0
2020-03-01 15:44:36;1.82353;0.382638;92.7979;22.2635;244.952;77.0
2020-03-01 15:44:37;1.76695;0.054711;92.8387;22.2615;223.53;77.0
2020-03-01 15:44:39;1.84422;0.054711;92.6194;22.2615;222.309;76.9806
2020-03-01 15:44:40;1.67895;0.382638;92.5159;22.2575;232.641;76.0197
2020-03-01 15:44:41;1.86;-0.273216;92.7781;22.2688;242.488;77.0
2020-03-01 15:44:42;1.82197;0.054711;92.813;22.2774;239.014;77.0
2020-03-01 15:44:43;1.69348;0.382638;92.8926;22.2672;228.628;76.9806
2020-03-01 15:44:44;2.17417;-0.273216;92.7195;22.2718;251.294;76.0197
2020-03-01 15:44:45;2.17036;-0.273216;92.8218;22.2751;233.711;77.0
2020-03-01 15:44:46;1.62573;-0.273216;92.8947;22.2751;235.728;76.9806
2020-03-01 15:44:47;1.76529;-0.273216;92.9503;22.2702;222.73;76.0197
2020-03-01 15:44:48;1.38628;0.054711;92.9526;22.2723;223.022;76.9806
2020-03-01 15:44:49;1.29004;0.054711;93.0101;22.2734;245.944;77.0
2020-03-01 15:44:50;0.631171;0.382638;93.0507;22.2679;205.386;77.0
2020-03-01 15:44:51;1.51005;0.054711;93.1136;22.2627;205.342;77.0
2020-03-01 15:44:52;1.1772;0.054711;93.0074;22.2715;232.303;76.9806
