Date;Current;Pressure;Temperature;Thermocouple;Voltage;Volume Flow RateRMS
2020-02-08 13:30:47;2.16975;0.382638;90.6454;26.8508;238.852;122.664
2020-02-08 13:30:48;2.07999;-0.273216;90.7978;26.8639;227.943;122.338
2020-02-08 13:30:50;2.52577;0.382638;90.773;26.8603;223.486;121.338
2020-02-08 13:30:51;2.49742;0.054711;90.8424;26.8616;244.904;121.664
2020-02-08 13:30:52;2.29194;0.710565;90.6664;26.8603;239.196;122.0
2020-02-08 13:30:53;2.57094;0.054711;90.7608;26.8723;240.549;121.338
2020-02-08 13:30:54;3.10397;0.054711;90.7526;26.8573;251.862;121.664
2020-02-08 13:30:55;2.40694;0.054711;90.9229;26.8573;228.402;122.0
2020-02-08 13:30:56;2.56711;-0.601143;90.9333;26.8676;226.631;122.0
2020-02-08 13:30:57;2.4602;0.054711;90.7807;26.8673;218.205;122.0
2020-02-08 13:30:58;3.0298;0.054711;90.8002;26.8661;235.331;122.0
2020-02-08 13:30:59;2.65212;0.054711;90.6518;26.8704;233.248;121.338
2020-02-08 13:31:00;2.88061;0.054711;90.5834;26.8694;245.606;121.0
2020-02-08 13:31:01;2.91862;0.054711;90.6741;26.8677;223.261;121.664
2020-02-08 13:31:02;2.90396;0.054711;90.682;26.8682;206.892;122.0
2020-02-08 13:31:03;2.86733;0.054711;90.5654;26.8716;236.717;122.0
2020-02-08 13:31:04;3.05417;0.054711;91.241;26.8708;218.205;122.0
2020-02-08 13:31:05;1.44434;0.054711;90.6573;26.8708;220.715;122.0
2020-02-08 13:31:06;2.82781;0.054711;91.147;26.8708;234.287;122.0
2020-02-08 13:31:07;2.80555;0.382638;91.3925;26.8745;224.112;122.0
2020-02-08 13:31:09;2.65724;0.054711;90.6303;26.8746;228.314;122.0
2020-02-08 13:31:10;2.50867;0.054711;91.0215;26.8738;229.464;122.0
2020-02-08 13:31:11;1.7947;-0.273216;91.0884;26.8722;226.338;121.338
2020-02-08 13:31:12;2.11039;0.054711;91.3434;26.8774;229.44;122.33
2020-02-08 13:31:13;2.53479;0.382638;91.1781;26.8773;221.335;121.677
2020-02-08 13:31:14;1.78388;0.054711;91.3868;26.8755;220.416;122.0
2020-02-08 13:31:15;1.93663;0.054711;91.4091;26.8755;233.562;122.0
2020-02-08 13:31:16;2.12854;0.054711;91.2651;26.8796;249.643;122.0
2020-02-08 13:31:17;2.49631;0.054711;91.3436;26.8721;236.765;121.338
2020-02-08 13:31:18;1.77498;0.382638;91.3471;26.8698;230.408;121.664
2020-02-08 13:31:19;2.18757;0.054711;91.4359;26.8696;235.981;122.0
2020-02-08 13:31:20;2.59247;0.054711;91.5322;26.8738;226.787;122.0
2020-02-08 13:31:21;2.1304;0.382638;91.4333;26.8799;228.136;122.664
2020-02-08 13:31:22;1.10258;0.710565;91.3338;26.8774;207.957;122.338
2020-02-08 13:31:23;2.5835;0.054711;91.4644;26.8805;220.186;122.0
2020-02-08 13:31:24;2.59213;0.054711;91.4116;26.8805;247.061;122.664
2020-02-08 13:31:25;2.34228;0.054711;91.5159;26.8789;221.83;122.338
2020-02-08 13:31:26;2.82599;0.054711;91.5381;26.8714;247.629;122.0
2020-02-08 13:31:27;2.63721;0.054711;91.5433;26.8805;227.858;122.0
2020-02-08 13:31:29;2.89982;0.054711;91.4687;26.8863;231.031;122.0
2020-02-08 13:31:30;2.53872;0.054711;91.4909;26.8931;220.812;122.0
2020-02-08 13:31:31;2.73273;0.382638;91.5249;26.8815;228.067;122.664
2020-02-08 13:31:32;1.16224;0.382638;91.5556;26.8815;216.861;122.337
2020-02-08 13:31:33;2.74667;0.382638;91.477;26.8871;233.377;121.337
2020-02-08 13:31:34;3.16155;0.054711;91.5395;26.8813;244.014;122.0
2020-02-08 13:31:35;2.94976;0.054711;91.1725;26.8864;238.787;121.337
2020-02-08 13:31:36;3.1974;-0.273216;91.0416;26.8858;231.295;121.0
2020-02-08 13:31:37;2.75143;0.054711;91.7249;26.8928;228.721;121.664
2020-02-08 13:31:38;2.795;0.382638;91.461;26.8852;224.052;122.0
2020-02-08 13:31:39;2.65971;0.054711;91.4668;26.8995;227.27;121.337
2020-02-08 13:31:40;2.8309;0.054711;91.6582;26.8916;215.82;121.664
2020-02-08 13:31:41;1.96856;0.054711;91.6027;26.8924;228.589;120.677
